     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
   12449   2015-02-27  22:07:44        01:36    0.0   12.8   2153196   6421840
   12534   2015-02-27  22:07:44        00:01  146.5    0.7    118540   8276888
   12449   2015-02-27  22:07:45        01:37  546.7   15.0   2519864   6428584
   12534   2015-02-27  22:07:45        00:02    3.4    0.7    118516   8275852
   12449   2015-02-27  22:07:46        01:38  429.6   15.1   2530172   6426512
   12534   2015-02-27  22:07:46        00:03    0.0    0.7    118408   8274816
   12449   2015-02-27  22:07:47        01:39  417.5   15.1   2530352   6426512
   12534   2015-02-27  22:07:47        00:04    1.4    0.7    118540   8275852
   12449   2015-02-27  22:07:48        01:40  425.1   15.1   2530792   6426512
   12534   2015-02-27  22:07:48        00:05    0.0    0.7    118444   8274816
   12449   2015-02-27  22:07:49        01:42  403.8   15.1   2530848   6426512
   12534   2015-02-27  22:07:49        00:07    0.4    0.7    118556   8275852
   12449   2015-02-27  22:07:51        01:43  409.1   15.1   2531004   6427548
   12534   2015-02-27  22:07:51        00:08    0.0    0.7    118460   8274816
   12449   2015-02-27  22:07:52        01:44  403.8   15.1   2530952   6426512
   12534   2015-02-27  22:07:52        00:09    1.3    0.7    118572   8275852
   12449   2015-02-27  22:07:53        01:45  411.2   15.1   2530972   6426512
   12534   2015-02-27  22:07:53        00:10    0.0    0.7    118476   8274816
   12449   2015-02-27  22:07:54        01:46  456.7   15.1   2531404   6426512
   12534   2015-02-27  22:07:54        00:11    0.2    0.7    118564   8275328
   12449   2015-02-27  22:07:55        01:47  529.2   15.1   2535444   6450328
   12534   2015-02-27  22:07:55        00:12    0.0    0.7    118444   8273244
   12449   2015-02-27  22:07:56        01:48  439.1   15.1   2535416   6449292
   12534   2015-02-27  22:07:56        00:13    1.3    0.7    119184   8274280
   12449   2015-02-27  22:07:57        01:49  454.9   15.1   2535532   6448256
   12534   2015-02-27  22:07:57        00:14    0.0    0.7    119088   8273244
   12449   2015-02-27  22:07:58        01:50  413.1   15.1   2535664   6448256
   12534   2015-02-27  22:07:58        00:15    0.1    0.7    119188   8274280
