     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
   10898   2015-02-27  20:04:52        00:01   78.1    0.3     50624   4465492
   10898   2015-02-27  20:04:53        00:02  151.7    0.8    131888   4490016
   10898   2015-02-27  20:04:54        00:03  110.1    1.3    215112   4533496
   10898   2015-02-27  20:04:55        00:04    3.3    1.3    215120   4533496
   10898   2015-02-27  20:04:56        00:05    1.3    1.3    215128   4533496
   10898   2015-02-27  20:04:57        00:06    1.5    1.3    215140   4533496
   10898   2015-02-27  20:04:58        00:07    1.2    1.3    215144   4533496
   10898   2015-02-27  20:04:59        00:08    1.2    1.3    215144   4533496
   10898   2015-02-27  20:05:00        00:09    1.1    1.3    215148   4533496
   10898   2015-02-27  20:05:01        00:10    3.2    1.3    215168   4533496
   10898   2015-02-27  20:05:02        00:11    1.1    1.3    215136   4531924
   10898   2015-02-27  20:05:03        00:13    2.0    1.3    215548   4531924
   10898   2015-02-27  20:05:05        00:14    1.1    1.3    215552   4531924
   10898   2015-02-27  20:05:06        00:15    1.2    1.3    215560   4531924
   10898   2015-02-27  20:05:07        00:16    1.1    1.3    215576   4531924
   10898   2015-02-27  20:05:08        00:17    1.1    1.3    215580   4531924
   10898   2015-02-27  20:05:09        00:18    1.9    1.3    215596   4531924
   10898   2015-02-27  20:05:10        00:19  227.5    1.5    249424   4547072
   10898   2015-02-27  20:05:11        00:20  616.2    2.0    333940   4550272
   10898   2015-02-27  20:05:12        00:21  627.5    2.6    430036   4555488
   10898   2015-02-27  20:05:13        00:22  463.6    2.9    478596   4549348
   10898   2015-02-27  20:05:14        00:23  664.9    3.4    568444   4575520
   10898   2015-02-27  20:05:15        00:24  541.2    3.5    592244   4560756
   10898   2015-02-27  20:05:16        00:25  491.4    3.9    652612   4561792
   10898   2015-02-27  20:05:17        00:26  351.9    4.2    699400   4561792
   10898   2015-02-27  20:05:18        00:27  461.0    4.2    699472   4561792
   10898   2015-02-27  20:05:19        00:28  422.2    4.2    699524   4561792
   10898   2015-02-27  20:05:20        00:29  455.2    4.2    699760   4561792
   10898   2015-02-27  20:05:21        00:30  483.0    4.2    703808   4564220
   10898   2015-02-27  20:05:22        00:31  431.5    4.2    703816   4564220
   10898   2015-02-27  20:05:23        00:32  435.8    4.2    703952   4564220
   10898   2015-02-27  20:05:24        00:33  457.9    4.2    703968   4564220
   10898   2015-02-27  20:05:25        00:34  465.8    4.2    703976   4564220
   10898   2015-02-27  20:05:26        00:35  375.4    4.2    704836   4564220
   10898   2015-02-27  20:05:27        00:36  435.8    4.2    704896   4564220
   10898   2015-02-27  20:05:28        00:37  444.2    4.2    704920   4564220
   10898   2015-02-27  20:05:29        00:38  445.6    4.2    704968   4564220
   10898   2015-02-27  20:05:30        00:39  417.0    4.2    705380   4564220
   10898   2015-02-27  20:05:31        00:41  437.2    4.2    705516   4564220
   10898   2015-02-27  20:05:33        00:42  443.4    4.2    705520   4564220
   10898   2015-02-27  20:05:34        00:43  430.0    4.2    705528   4564220
   10898   2015-02-27  20:05:35        00:44  418.6    4.2    706328   4564220
   10898   2015-02-27  20:05:36        00:45  451.7    4.2    706332   4564220
   10898   2015-02-27  20:05:37        00:46  429.4    4.2    706440   4564220
   10898   2015-02-27  20:05:38        00:47  436.2    4.2    706440   4564220
   10898   2015-02-27  20:05:39        00:48  457.5    4.2    706464   4564220
   10898   2015-02-27  20:05:40        00:49  430.4    4.2    706968   4564220
   10898   2015-02-27  20:05:41        00:50  457.3    4.2    706984   4564220
   10898   2015-02-27  20:05:42        00:51  419.2    4.2    707004   4564220
   10898   2015-02-27  20:05:43        00:52  447.2    4.2    707012   4564220
   10898   2015-02-27  20:05:44        00:53  492.0    4.2    707440   4564220
   10898   2015-02-27  20:05:45        00:54  450.7    4.2    707464   4564220
   10898   2015-02-27  20:05:46        00:55  451.5    4.2    707540   4564220
   10898   2015-02-27  20:05:47        00:56  443.5    4.2    707688   4564220
   10898   2015-02-27  20:05:48        00:57  448.5    4.2    707716   4564220
   10898   2015-02-27  20:05:49        00:58  426.8    4.2    707724   4564220
   10898   2015-02-27  20:05:50        00:59  491.9    4.2    708784   4568592
   10898   2015-02-27  20:05:51        01:00  444.0    4.2    705488   4564392
   10898   2015-02-27  20:05:52        01:01  445.9    4.2    705496   4564392
   10898   2015-02-27  20:05:53        01:02  453.6    4.2    705528   4564392
   10898   2015-02-27  20:05:54        01:03  433.0    4.2    705608   4564392
   10898   2015-02-27  20:05:55        01:04  446.7    4.2    705608   4564392
   10898   2015-02-27  20:05:56        01:05  451.6    4.2    707684   4563992
   10898   2015-02-27  20:05:57        01:06  434.6    4.2    707684   4563992
   10898   2015-02-27  20:05:58        01:07  418.9    4.2    708388   4563992
   10898   2015-02-27  20:05:59        01:09  454.2    4.2    708388   4563992
   10898   2015-02-27  20:06:01        01:10  451.2    4.2    708428   4563992
   10898   2015-02-27  20:06:02        01:11  476.6    4.2    708448   4563992
   10898   2015-02-27  20:06:03        01:12  447.1    4.2    708476   4563992
   10898   2015-02-27  20:06:04        01:13  457.3    4.2    708484   4563992
   10898   2015-02-27  20:06:05        01:14  457.1    4.2    708516   4563992
   10898   2015-02-27  20:06:06        01:15  456.2    4.2    708516   4563992
   10898   2015-02-27  20:06:07        01:16  446.9    4.2    708652   4563992
   10898   2015-02-27  20:06:08        01:17  441.6    4.2    708684   4563992
   10898   2015-02-27  20:06:09        01:18  447.9    4.2    708708   4563992
   10898   2015-02-27  20:06:10        01:19  427.1    4.2    708784   4563992
   10898   2015-02-27  20:06:11        01:20  445.0    4.2    708896   4563992
   10898   2015-02-27  20:06:12        01:21  444.6    4.2    708804   4563820
   10898   2015-02-27  20:06:13        01:22  422.4    4.2    708832   4563820
   10898   2015-02-27  20:06:14        01:23  433.2    4.2    708876   4563820
   10898   2015-02-27  20:06:15        01:24  452.9    4.2    708904   4563820
   10898   2015-02-27  20:06:16        01:25  438.6    4.2    708904   4563820
   10898   2015-02-27  20:06:17        01:26  426.4    4.2    708932   4563820
   10898   2015-02-27  20:06:18        01:27  435.9    4.2    708932   4563820
   10898   2015-02-27  20:06:19        01:28  462.7    4.2    708960   4563820
   10898   2015-02-27  20:06:20        01:29  449.1    4.2    709004   4563820
   10898   2015-02-27  20:06:21        01:30  459.0    4.2    709004   4563820
   10898   2015-02-27  20:06:22        01:31  439.3    4.2    709028   4563820
   10898   2015-02-27  20:06:23        01:32  451.1    4.2    709028   4563820
   10898   2015-02-27  20:06:24        01:33  423.5    4.2    709060   4563820
   10898   2015-02-27  20:06:25        01:34  437.2    4.2    709112   4563820
   10898   2015-02-27  20:06:26        01:35  483.6    4.2    709172   4563820
   10898   2015-02-27  20:06:27        01:37  426.1    4.2    709180   4563820
   10898   2015-02-27  20:06:29        01:38  453.0    4.2    709192   4563820
   10898   2015-02-27  20:06:30        01:39  436.0    4.2    709212   4563820
   10898   2015-02-27  20:06:31        01:40  443.9    4.2    709224   4563820
   10898   2015-02-27  20:06:32        01:41  344.4    4.2    709240   4563820
   10898   2015-02-27  20:06:33        01:42  441.2    4.2    709244   4563820
   10898   2015-02-27  20:06:34        01:43  452.0    4.2    709276   4563820
   10898   2015-02-27  20:06:35        01:44  436.7    4.2    709436   4563820
   10898   2015-02-27  20:06:36        01:45  532.6    4.2    709436   4563820
   10898   2015-02-27  20:06:37        01:46  445.5    4.2    709500   4563820
   10898   2015-02-27  20:06:38        01:47  433.4    4.2    709500   4563820
   10898   2015-02-27  20:06:39        01:48  451.8    4.2    709516   4563820
   10898   2015-02-27  20:06:40        01:49  434.8    4.2    709516   4563820
   10898   2015-02-27  20:06:41        01:50  399.0    4.2    709540   4563820
   10898   2015-02-27  20:06:42        01:51  418.4    4.2    709572   4563820
   10898   2015-02-27  20:06:43        01:52  465.8    4.2    709604   4563820
   10898   2015-02-27  20:06:44        01:53  437.2    4.2    709616   4563820
   10898   2015-02-27  20:06:45        01:54  448.6    4.2    709660   4563820
   10898   2015-02-27  20:06:46        01:55  416.6    4.2    709700   4563820
   10898   2015-02-27  20:06:47        01:56  453.0    4.2    709704   4563820
   10898   2015-02-27  20:06:48        01:57  444.7    4.2    709720   4563820
   10898   2015-02-27  20:06:49        01:58  438.9    4.2    709760   4563820
   10898   2015-02-27  20:06:50        01:59  518.8    4.2    709776   4563820
   10898   2015-02-27  20:06:51        02:00  434.5    4.2    709820   4563820
   10898   2015-02-27  20:06:52        02:01  437.3    4.2    709888   4563820
   10898   2015-02-27  20:06:53        02:02  443.1    4.2    709888   4563820
   10898   2015-02-27  20:06:54        02:03  434.2    4.2    709988   4563144
   10898   2015-02-27  20:06:55        02:05  406.9    4.2    710260   4563144
   10898   2015-02-27  20:06:57        02:06  432.3    4.2    710272   4563144
   10898   2015-02-27  20:06:58        02:07  436.0    4.2    710272   4563144
   10898   2015-02-27  20:06:59        02:08  455.9    4.2    710288   4563144
   10898   2015-02-27  20:07:00        02:09  431.6    4.2    710308   4563144
   10898   2015-02-27  20:07:01        02:10  432.1    4.2    710324   4563144
   10898   2015-02-27  20:07:02        02:11  443.8    4.2    710336   4563144
