     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
   12917   2015-02-27  22:19:47        00:02  135.4    0.5     78908   4470876
   12908   2015-02-27  22:19:47        01:29    0.0   12.8   2148500   6415636
   12917   2015-02-27  22:19:48        00:03  147.9    1.0    165620   4510664
   12908   2015-02-27  22:19:48        01:30    0.0   12.8   2148500   6415636
   12917   2015-02-27  22:19:49        00:04   41.1    1.3    215448   4534520
   12908   2015-02-27  22:19:49        01:31    0.0   12.8   2148500   6415636
   12917   2015-02-27  22:19:50        00:05    2.1    1.3    215464   4534520
   12908   2015-02-27  22:19:50        01:32    0.1   12.8   2148504   6415636
   12917   2015-02-27  22:19:51        00:06    0.8    1.3    215464   4534520
   12908   2015-02-27  22:19:51        01:33    0.0   12.8   2148600   6416672
   12917   2015-02-27  22:19:52        00:07    0.8    1.3    215480   4534520
   12908   2015-02-27  22:19:52        01:34    0.0   12.8   2148508   6415636
   12917   2015-02-27  22:19:53        00:08    1.8    1.3    215492   4534520
   12908   2015-02-27  22:19:53        01:35    0.0   12.8   2148508   6415636
   12917   2015-02-27  22:19:54        00:09    0.7    1.3    215492   4534520
   12908   2015-02-27  22:19:54        01:36    0.0   12.8   2148508   6415636
   12917   2015-02-27  22:19:55        00:10    0.8    1.3    215500   4534520
   12908   2015-02-27  22:19:55        01:37    0.0   12.8   2148508   6415636
   12917   2015-02-27  22:19:56        00:11    1.3    1.3    215520   4534520
   12908   2015-02-27  22:19:56        01:38    0.3   12.8   2148644   6416672
   12917   2015-02-27  22:19:57        00:12    0.4    1.3    215488   4532948
   12908   2015-02-27  22:19:57        01:39    0.0   12.8   2148548   6415636
   12917   2015-02-27  22:19:58        00:13    0.7    1.3    215488   4532948
   12908   2015-02-27  22:19:58        01:40    0.0   12.8   2148548   6415636
   12917   2015-02-27  22:19:59        00:14    0.7    1.3    215488   4532948
   12908   2015-02-27  22:19:59        01:41    0.1   12.8   2148548   6415636
   12917   2015-02-27  22:20:00        00:15    1.3    1.3    215500   4532948
   12908   2015-02-27  22:20:00        01:42    0.0   12.8   2148548   6415636
